PSR Name	px_VLBI	px_timing	D_HE	D_optical	D_DM_NE2001	D_DM_YMW17	IPTA	S1400	Pbdot_obs	Pbdot_GR_Flag	Pbdot_GR	Pbdot_Shk	Pbdot_dgr	Pbdot_kz	Pbdot_Gal	Pbdot_Shk_Gal	mass_constraints	reference		m2_optical
B1913+16 (J1915+1606)	new VLBI			9.0(30) HI	"5.898, 5.050, 6.776"	"5.2455 , 4.3267 , 5.8774"		0.9	-2.423(1)e-12	Done	-2.40263(5)e-12	1.34(31)e-15	-2.41(+49-15)e-14	-1.66(+39-16)e-16	-2.429(+495-155)e-14	-2.294(+527-186)e-15		Weisberg_2016_ApJ_829_55		
J2145-0750	1.63(4)	1.84(17)			"0.818, 0.668, 0.968"	"0.6931 , 0.5481 , 0.8486"	X	8.9	7.5399(50519)e-14 ?	IPTA								Deller_2016_ApJ_828_8__MNRAS_2016_Reardon_455_1751		0.90(5) for DA WD; 0.83(6) for DB WD
J2222-0137	3.742(+13-16)				"0.312, 0.258, 0.367"	"0.2667 , 0.2229 , 0.312"		*	0.20(9)e-12	Done	-0.0077(4)e-12	0.2789(12)e-12	-3.51(9)e-15	1.62(4)e-14	1.268(51)e-13	0.2916(13)e-12		Cognard_2017_ApJ_844_128		
																				
IPTA			D_HE						Abdo_2013_ApJS_208_17.pdf			S1400								
J0034-0534	MSPSRPI	DM	0.54+11-10	Fermi2PSR	"0.541, 0.442, 0.651"	"1.3476 , 0.9926 , 1.8292"						0.61					no source in PanStarrs			
J0218+4232	EVN	DM	2.64+108-64	Fermi2PSR	"2.671, 2.029, 3.773"	"2.9291 , 2.1377 , 4.6658"						0.9	Du_2014_ApJL_782_L38.pdf		negative		no source in PanStarrs			
J0610-2100	MSPSRPI	DM	3.54+546-100	Fermi2PSR	"3.539 ,2.541, > 46.198"	"3.2582 , 2.5668 , 4.5923"						0.4					no source in PanStarrs			
J1455-3330		px	1.01(22)	Guillemot16	"0.527 ,0.454, 0.601"	"0.6842 , 0.595 , 0.7626"			aa_2016_Guillemot_587_A109.pdf			1.2		1.02(184)e-11			no PanStarrs			
J1600-3053		DM	1.63+31-27	Fermi2PSR	"1.629 , 1.358, 1.940"	"2.5342 , 1.574 , 3.6621"		0.50(7) NANOGrav11yr			get	2.5		5.189(3900)e-13			possible  source in PanStarrs			
																				
																				
NANOGrav			D_HE					px_NANOGrav11yr	mass	S1400			Pbdot_obs	Pbdot_obs__Tempo						
J0023+0923		DM	0.69+21-11	Fermi2PSR	"0.687 ,0.578, 0.808"	"1.2478 , 0.9282 , 1.6361"		0.9(2)		0.48		Breton_2013_ApJ_769_108.pdf		2.68(20)e-12	Published		possible fiant source in PanStarrs			
J0740+6620								2.3(6)	Y				-2.06(797)e-12	-2.20(758)e-12			no source in PanStarrs			
J1741+1351		px	1.08+4-5	Fermi2PSR	"0.901,0.757, 1.051"	"1.3625 , 1.1136 , 1.6885"		0.6(1)	Y	0.93			1.503(1391)e-12	1.86(121)e-12			no source in PanStarrs			
J1918-0642	IPTA/MSPSRPI							0.9(1)	Y	0.58			-2.05(769)e-13	-1.53(315)e-13			no source in PanStarrs			
J2017+0603		DM	1.57+16-15	Fermi2PSR	"1.569, 1.415, 1.729"	"1.3986 , 1.1606 , 1.6455"			Y	0.5	px 1.2(5)  aa_2016_Guillemot_587_A109.pdf		-2.05(769)e-13	-2.13(769)e-13	MNRAS_2016_Bassa_455_3806.pdf		no source in PanStarrs			
J2043+1711		DM	1.76+15-32	Fermi2PSR	"1.758 , 1.439, 1.904"	"1.4728 , 1.1594 , 1.8047"		0.64(8)	Y				4.54(9314)e-15	1.92(73)e-13			no source in PanStarrs?			
J2214+3000		DM	1.54+19-18	Fermi2PSR	"1.542 ,1.365, 1.732"	"1.6736 , 1.281 , 2.1125"		2.3(7)		0.53			3.71(1699)e-13	-7.16(1393)e-13	Schroeder_columbia_0054D_12261.pdf		possible fiant source in PanStarrs			
J2234+0611	MSPSRPI							0.7(2) / 0.6566(1963)	Y	0.7	0.7423(279) / Antoniadis_2016_ApJ_830_36.pdf	annurev2016_Masses_Radii_EquationofState_NeutronStar_2016.pdf	-1.07(143)e-10	-8.44(1324)e-11			no source in PanStarrs			
J2234+0944								1.3(4)					-2.18(4333)e-13	-3.34(3977)e-13			no source in PanStarrs			
J2302+4442		DM	1.19+9-23	Fermi2PSR	"1.178, 0.950, 1.278"	"0.8591 , 0.6923, 1.033"			Y	1.2			-3.66(2245)e-11	-2.37(2143)e-11			no source in PanStarrs			
J2317+1439	IPTA/PSRPI							0.50(8)	Y	4			5.63(3096)e-15	2.19(1770)e-15	Dai_2017					
J1640+2224	MSPSRPI /0.66(7)							0.2(4) & d>1		2			6.64(1218)e-12	3.22(83)e-11	Vigeland_2018_ApJ_855_122.pdf					
																				
J0453+1559										*			no source in PanStarrs				"h3,zeta, omdot"	Martinez_2015_ApJ_812_143.pdf		
										S1400	Pbdot_obs	PB								
J2305+4707 (B2303+46)		give up	paper?		van_Kerkwijk_1999_ApJ_516_L25.pdf__Thorsett_1999_ApJ_512_288.pdf								no source in PanStarrs							
J1811-1736		give up			Corongiu et al 2007__MNRAS_2013_Mignani_430_1008.pdf					1.3			may infrared 							
J1302-6350 (B1259-63)		give up	VLBI px: 0.387(+47-49)		MNRAS_2004_Wang_351_599.pdf__MNRAS_2014_Shannon_437_3255.pdf__Negueruela_2011_ApJL_732_L11__1804.08402.pdf					1.7	1.4(7)e-8	1236.724526	pass							
J1946+3417		give up	"5.1435, 4.4088, 5.9190"	"6.9405, 6.2175, 7.7707"	MNRAS_2017_Barr_465_1711.pdf					0.29			possible source in PanStarrs							
																				
J1024-0719	NANOGrav/MSPSRPI		PB unknown					0.8(2)	PB too large!	1.5	source in PanStarrs	MNRAS_2016_Bassa_460_2207.pdf__Kaplan_2016_ApJ_826_86.pdf								
																				
J2051-0827	MSPSRPI	MNRAS_2016_Shaifullah_462_1029.pdf				red blacke	this source be given up			2.8										
																				
HMXB is not approriate to do this																				
														Pbdot_obs_Tempo						
J1913+1102		give up						Lazarus_2016_ApJ_831_150.pdf		0.02	no source in PanStarrs									
J0636+5128		NANOGrav						Stovall_2014_ApJ_791_67			possible fiant source in PanStarrs			2.455(269)e-12						
																				
																				
J1955+2908 (B1953+29)		NANOGrav							source in PanStarrs											
J2019+2425		Nice_2001_ApJ_549_516.pdf___MNRAS_2016_Desvignes_458_3341.pdf				-3(6)e-11			no source in PanStarrs											
J2129-5721		MNRAS_2016_Reardon_455_1751.pdf				7.9(36)e-13	"1.3633, 1.0314, 1.8754"	"6.1722, 2.4028, 25"												
J2229+2643		MNRAS_2016_Desvignes_458_3341.pdf							no source in PanStarrs											
																				
J1959+2048									possible source in PanStarrs											
J1623-2631									no source in PanStarrs											
